home_team,away_team,tournament,is_neutral,year,month,home_result
Philippines,Guam,FIFA World Cup qualification,1,2021,6,Win
China,Maldives,FIFA World Cup qualification,1,2021,6,Win
Nepal,Australia,FIFA World Cup qualification,1,2021,6,Loss
Kuwait,Jordan,FIFA World Cup qualification,0,2021,6,Draw
Cambodia,Iran,FIFA World Cup qualification,1,2021,6,Loss
Hong Kong,Iraq,FIFA World Cup qualification,1,2021,6,Loss
Yemen,Uzbekistan,FIFA World Cup qualification,1,2021,6,Loss
Afghanistan,Oman,FIFA World Cup qualification,1,2021,6,Loss
Myanmar,Kyrgyzstan,FIFA World Cup qualification,1,2021,6,Loss
Malaysia,Vietnam,FIFA World Cup qualification,1,2021,6,Loss
Japan,Serbia,Kirin Challenge Cup,0,2021,6,Win
DR Congo,Mali,Friendly,1,2021,6,Draw
Guinea,Niger,Friendly,1,2021,6,Win
Kosovo,Gambia,Friendly,1,2021,6,Win
Mauritania,Liberia,Friendly,1,2021,6,Win
Tunisia,Algeria,Friendly,0,2021,6,Loss
Italy,Turkey,UEFA Euro,0,2021,6,Win
Saudi Arabia,Singapore,FIFA World Cup qualification,0,2021,6,Win
United Arab Emirates,Indonesia,FIFA World Cup qualification,0,2021,6,Win
Haiti,Canada,FIFA World Cup qualification,0,2021,6,Loss
Panama,Curaçao,FIFA World Cup qualification,0,2021,6,Win
Saint Kitts and Nevis,El Salvador,FIFA World Cup qualification,0,2021,6,Loss
Ghana,Ivory Coast,Friendly,0,2021,6,Draw
Mexico,Honduras,Friendly,1,2021,6,Draw
Morocco,Burkina Faso,Friendly,0,2021,6,Win
Wales,Switzerland,UEFA Euro,0,2021,6,Draw
Denmark,Finland,UEFA Euro,0,2021,6,Loss
Russia,Belgium,UEFA Euro,0,2021,6,Loss
South Korea,Lebanon,FIFA World Cup qualification,0,2021,6,Win
Sudan,Zambia,Friendly,0,2021,6,Loss
Tanzania,Malawi,Friendly,0,2021,6,Win
Austria,North Macedonia,UEFA Euro,1,2021,6,Win
Netherlands,Ukraine,UEFA Euro,0,2021,6,Win
England,Croatia,UEFA Euro,0,2021,6,Win
Brazil,Venezuela,Copa América,0,2021,6,Win
Colombia,Ecuador,Copa América,1,2021,6,Win
Libya,Liberia,Friendly,1,2021,6,Loss
Scotland,Czech Republic,UEFA Euro,0,2021,6,Loss
Poland,Slovakia,UEFA Euro,1,2021,6,Loss
Spain,Sweden,UEFA Euro,0,2021,6,Draw
Argentina,Chile,Copa América,1,2021,6,Draw
Paraguay,Bolivia,Copa América,1,2021,6,Win
Philippines,Maldives,FIFA World Cup qualification,1,2021,6,Draw
China,Syria,FIFA World Cup qualification,0,2021,6,Win
Australia,Jordan,FIFA World Cup qualification,1,2021,6,Win
Bahrain,Hong Kong,FIFA World Cup qualification,0,2021,6,Win
Iran,Iraq,FIFA World Cup qualification,0,2021,6,Win
Palestine,Yemen,FIFA World Cup qualification,1,2021,6,Win
Saudi Arabia,Uzbekistan,FIFA World Cup qualification,0,2021,6,Win
Bangladesh,Oman,FIFA World Cup qualification,1,2021,6,Loss
India,Afghanistan,FIFA World Cup qualification,1,2021,6,Draw
Tajikistan,Myanmar,FIFA World Cup qualification,1,2021,6,Win
Japan,Kyrgyzstan,FIFA World Cup qualification,0,2021,6,Win
Thailand,Malaysia,FIFA World Cup qualification,1,2021,6,Loss
United Arab Emirates,Vietnam,FIFA World Cup qualification,0,2021,6,Win
Canada,Haiti,FIFA World Cup qualification,1,2021,6,Win
Curaçao,Panama,FIFA World Cup qualification,0,2021,6,Draw
El Salvador,Saint Kitts and Nevis,FIFA World Cup qualification,0,2021,6,Win
Tunisia,Mali,Friendly,0,2021,6,Win
Djibouti,Somalia,Friendly,0,2021,6,Win
Hungary,Portugal,UEFA Euro,0,2021,6,Loss
Germany,France,UEFA Euro,0,2021,6,Loss
Kuwait,Taiwan,FIFA World Cup qualification,0,2021,6,Win
Sierra Leone,Benin,African Cup of Nations qualification,1,2021,6,Win
Turkey,Wales,UEFA Euro,1,2021,6,Loss
Italy,Switzerland,UEFA Euro,0,2021,6,Win
Russia,Finland,UEFA Euro,0,2021,6,Win
Denmark,Belgium,UEFA Euro,0,2021,6,Loss
Ukraine,North Macedonia,UEFA Euro,1,2021,6,Win
Netherlands,Austria,UEFA Euro,0,2021,6,Win
Colombia,Venezuela,Copa América,1,2021,6,Draw
Brazil,Peru,Copa América,0,2021,6,Win
Algeria,Liberia,Friendly,0,2021,6,Win
Croatia,Czech Republic,UEFA Euro,1,2021,6,Draw
England,Scotland,UEFA Euro,0,2021,6,Draw
Sweden,Slovakia,UEFA Euro,1,2021,6,Win
Chile,Bolivia,Copa América,1,2021,6,Win
Argentina,Uruguay,Copa América,1,2021,6,Win
Spain,Poland,UEFA Euro,0,2021,6,Draw
Hungary,France,UEFA Euro,0,2021,6,Draw
